"Gene Symbol","Ensembl ID",Pvalue,LogFC
ACSL4,ENSG00000068366,"	1.07530291615319e-08","	-13.8935135858005"
AKAP13,ENSG00000170776,"	2.66435062911469e-07","	-8.66975371571407"
AL133268.4,AL133268.4,"	6.10004431933683e-67","	-8.387745746052"
ALCAM,ENSG00000170017,"	6.91973003302279e-06","	-13.3295205594342"
ANK3,ENSG00000151150,"	3.15709927736336e-47","	-19.9312000313577"
CAMK1D,ENSG00000183049,"	1.59025273135214e-08","	-12.5588630485431"
CARD11,ENSG00000198286,"	4.75664886553407e-14","	-8.36909737626611"
CXCL8,ENSG00000169429,"	0.0019479811061536","	392.454095786277"
DIAPH2,ENSG00000147202,"	2.71283699727898e-14","	-8.30259354658961"
FTH1,ENSG00000167996,"	0.0024057551861198","	291.650328174869"
FTL,ENSG00000087086,"	7.77582688876257e-06","	377.812631123627"
HBA1,ENSG00000206172,"	9.45343243166713e-05",inf
HBA2,ENSG00000188536,"	2.56471502358612e-06",inf
HBB,ENSG00000244734,"	4.07331118875149e-05",inf
LRRK2,ENSG00000188906,"	1.10713301594383e-05","	-8.08242536986328"
MACROD2,ENSG00000172264,"	1.8905516624538702e-132","	-7.0587000495108"
MAGI1,ENSG00000151276,"	2.3451323336551695e-79","	-7.03573371802791"
MALAT1,ENSG00000251562,"	0.0100882794631911",inf
MECOM,ENSG00000085276,"	7.049631044189221e-73","	-9.99702945896045"
MSI2,ENSG00000153944,"	3.82029409274956e-21","	-9.62213879245132"
MT-ATP6,ENSG00000198899,"	0.0001364352416263","	173.932719170512"
MT-CO1,ENSG00000198804,"	0.0040062909941122","	242.946300696432"
MT-CO3,ENSG00000198938,"	0.000132026319534","	199.910805163909"
PATJ,ENSG00000132849,"	9.66297845270928e-89","	-9.82058263400445"
PDE4D,ENSG00000113448,"	7.29494103028676e-32","	-18.7908576396145"
PTPRG,ENSG00000144724,"	1.41441251229134e-110","	-17.0294843064767"
PTPRN2,ENSG00000155093,"	6.87883115709506e-33","	-8.44350921129751"
RAPGEF5,ENSG00000136237,"	1.41441251229134e-110","	-8.41617344958704"
S100A8,ENSG00000143546,"	0.0079059451697191","	358.081491554534"
S100A9,ENSG00000163220,"	0.0032092528055551","	337.883760982089"
SFTPB,ENSG00000168878,"	1.3801177776933601e-59","	-31.6323483049243"
SLC4A4,ENSG00000080493,"	1.4709107908608196e-40","	-9.81166635426695"
SOX5,ENSG00000134532,"	6.10004431933683e-67","	-7.14197297202121"
ZNF385B,ENSG00000144331,"	6.10004431933683e-67","	-17.027845727984"
